Version 2
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)"
T,,47.6936340,12.0518408,1,1,2001,0,0,0,1148,1e25
T,,47.6936607,12.0520067,1,1,2001,0,0,0,1148,1e25
T,,47.6937180,12.0521889,1,1,2001,0,0,0,1147,1e25
T,,47.6937447,12.0522594,1,1,2001,0,0,0,1148,1e25
T,,47.6937904,12.0524101,1,1,2001,0,0,0,1148,1e25
T,,47.6938095,12.0524960,1,1,2001,0,0,0,1148,1e25
T,,47.6938248,12.0525980,1,1,2001,0,0,0,1147,1e25
T,,47.6938629,12.0527344,1,1,2001,0,0,0,1147,1e25
T,,47.6938972,12.0528727,1,1,2001,0,0,0,1147,1e25
T,,47.6939430,12.0530128,1,1,2001,0,0,0,1145,1e25
T,,47.6939507,12.0530338,1,1,2001,0,0,0,1147,1e25
T,,47.6939583,12.0530796,1,1,2001,0,0,0,1145,1e25
T,,47.6940498,12.0532570,1,1,2001,0,0,0,1144,1e25
T,,47.6940727,12.0533075,1,1,2001,0,0,0,1146,1e25
T,,47.6941261,12.0534325,1,1,2001,0,0,0,1145,1e25
T,,47.6942024,12.0535860,1,1,2001,0,0,0,1144,1e25
T,,47.6942329,12.0537100,1,1,2001,0,0,0,1144,1e25
T,,47.6942749,12.0537510,1,1,2001,0,0,0,1137,1e25
T,,47.6942825,12.0537519,1,1,2001,0,0,0,1146,1e25
T,,47.6942863,12.0537577,1,1,2001,0,0,0,1142,1e25
T,,47.6942940,12.0538540,1,1,2001,0,0,0,1141,1e25
T,,47.6943359,12.0539846,1,1,2001,0,0,0,1141,1e25
T,,47.6943321,12.0540962,1,1,2001,0,0,0,1142,1e25
T,,47.6943741,12.0542259,1,1,2001,0,0,0,1140,1e25
T,,47.6944275,12.0543671,1,1,2001,0,0,0,1138,1e25
T,,47.6944351,12.0543804,1,1,2001,0,0,0,1139,1e25
T,,47.6944427,12.0543995,1,1,2001,0,0,0,1140,1e25
T,,47.6944733,12.0544472,1,1,2001,0,0,0,1139,1e25
T,,47.6945343,12.0545349,1,1,2001,0,0,0,1138,1e25
T,,47.6945457,12.0546217,1,1,2001,0,0,0,1138,1e25
T,,47.6945915,12.0547295,1,1,2001,0,0,0,1135,1e25
T,,47.6946411,12.0548563,1,1,2001,0,0,0,1135,1e25
T,,47.6947098,12.0549889,1,1,2001,0,0,0,1134,1e25
T,,47.6947136,12.0550070,1,1,2001,0,0,0,1134,1e25
T,,47.6947365,12.0551548,1,1,2001,0,0,0,1133,1e25
T,,47.6947899,12.0552158,1,1,2001,0,0,0,1133,1e25
T,,47.6947517,12.0552607,1,1,2001,0,0,0,1132,1e25
T,,47.6947784,12.0553875,1,1,2001,0,0,0,1128,1e25
T,,47.6947975,12.0554113,1,1,2001,0,0,0,1130,1e25
T,,47.6947937,12.0554333,1,1,2001,0,0,0,1128,1e25
T,,47.6948433,12.0555468,1,1,2001,0,0,0,1127,1e25
T,,47.6948700,12.0556355,1,1,2001,0,0,0,1126,1e25
T,,47.6948967,12.0557280,1,1,2001,0,0,0,1123,1e25
T,,47.6949387,12.0558891,1,1,2001,0,0,0,1124,1e25
T,,47.6949768,12.0560160,1,1,2001,0,0,0,1123,1e25
T,,47.6950264,12.0560818,1,1,2001,0,0,0,1118,1e25
T,,47.6950378,12.0560741,1,1,2001,0,0,0,1126,1e25
T,,47.6950531,12.0560570,1,1,2001,0,0,0,1122,1e25
T,,47.6951065,12.0561771,1,1,2001,0,0,0,1121,1e25
T,,47.6950989,12.0561867,1,1,2001,0,0,0,1122,1e25
T,,47.6951294,12.0562201,1,1,2001,0,0,0,1122,1e25
T,,47.6951485,12.0562382,1,1,2001,0,0,0,1119,1e25
T,,47.6951981,12.0562639,1,1,2001,0,0,0,1121,1e25
T,,47.6952362,12.0563469,1,1,2001,0,0,0,1121,1e25
T,,47.6953011,12.0563803,1,1,2001,0,0,0,1122,1e25
T,,47.6952744,12.0564423,1,1,2001,0,0,0,1121,1e25
T,,47.6953011,12.0564537,1,1,2001,0,0,0,1120,1e25
T,,47.6954041,12.0564518,1,1,2001,0,0,0,1119,1e25
T,,47.6954269,12.0564661,1,1,2001,0,0,0,1118,1e25
T,,47.6954613,12.0564671,1,1,2001,0,0,0,1119,1e25
T,,47.6955414,12.0564899,1,1,2001,0,0,0,1118,1e25
T,,47.6955986,12.0565138,1,1,2001,0,0,0,1116,1e25
T,,47.6956558,12.0565386,1,1,2001,0,0,0,1112,1e25
