Track hddd.ddddd° WGS-84
Breite      	Länge       	 Time     	 Flag	Descr.	Alt
N 47.69336° 	E012.05111° 	 0 	 0 		1149
N 47.69336° 	E012.0513° 	 0 	 0 		1148
N 47.69343° 	E012.05151° 	 0 	 0 		1149
N 47.69353° 	E012.0516° 	 0 	 0 		1149
N 47.69354° 	E012.05161° 	 0 	 0 		1146
N 47.69355° 	E012.05162° 	 0 	 0 		1149
N 47.69355° 	E012.05162° 	 0 	 0 		1149
N 47.69359° 	E012.05165° 	 0 	 0 		1149
N 47.69363° 	E012.05184° 	 0 	 0 		1148
N 47.69366° 	E012.05201° 	 0 	 0 		1148
N 47.69372° 	E012.05219° 	 0 	 0 		1147
N 47.69374° 	E012.05226° 	 0 	 0 		1148
N 47.69379° 	E012.05241° 	 0 	 0 		1148
N 47.69381° 	E012.0525° 	 0 	 0 		1148
N 47.69382° 	E012.0526° 	 0 	 0 		1147
N 47.69386° 	E012.05273° 	 0 	 0 		1147
N 47.6939° 	E012.05287° 	 0 	 0 		1147
N 47.69394° 	E012.05301° 	 0 	 0 		1145
N 47.69395° 	E012.05303° 	 0 	 0 		1147
N 47.69396° 	E012.05308° 	 0 	 0 		1145
N 47.69405° 	E012.05326° 	 0 	 0 		1144
N 47.69407° 	E012.05331° 	 0 	 0 		1146
N 47.69413° 	E012.05343° 	 0 	 0 		1145
N 47.6942° 	E012.05359° 	 0 	 0 		1144
N 47.69423° 	E012.05371° 	 0 	 0 		1144
N 47.69427° 	E012.05375° 	 0 	 0 		1137
N 47.69428° 	E012.05375° 	 0 	 0 		1146
N 47.69429° 	E012.05376° 	 0 	 0 		1142
N 47.69429° 	E012.05385° 	 0 	 0 		1141
N 47.69434° 	E012.05398° 	 0 	 0 		1141
N 47.69433° 	E012.0541° 	 0 	 0 		1142
N 47.69437° 	E012.05423° 	 0 	 0 		1140
N 47.69443° 	E012.05437° 	 0 	 0 		1138
N 47.69444° 	E012.05438° 	 0 	 0 		1139
N 47.69444° 	E012.0544° 	 0 	 0 		1140
N 47.69447° 	E012.05445° 	 0 	 0 		1139
N 47.69453° 	E012.05453° 	 0 	 0 		1138
N 47.69455° 	E012.05462° 	 0 	 0 		1138
N 47.69459° 	E012.05473° 	 0 	 0 		1135
N 47.69464° 	E012.05486° 	 0 	 0 		1135
N 47.69471° 	E012.05499° 	 0 	 0 		1134
N 47.69471° 	E012.05501° 	 0 	 0 		1134
N 47.69474° 	E012.05515° 	 0 	 0 		1133
N 47.69479° 	E012.05522° 	 0 	 0 		1133
N 47.69475° 	E012.05526° 	 0 	 0 		1132
N 47.69478° 	E012.05539° 	 0 	 0 		1128
N 47.6948° 	E012.05541° 	 0 	 0 		1130
N 47.69479° 	E012.05543° 	 0 	 0 		1128
N 47.69484° 	E012.05555° 	 0 	 0 		1127
N 47.69487° 	E012.05564° 	 0 	 0 		1126
N 47.6949° 	E012.05573° 	 0 	 0 		1123
N 47.69494° 	E012.05589° 	 0 	 0 		1124
N 47.69498° 	E012.05602° 	 0 	 0 		1123
N 47.69503° 	E012.05608° 	 0 	 0 		1118
N 47.69504° 	E012.05607° 	 0 	 0 		1126
N 47.69505° 	E012.05606° 	 0 	 0 		1122
N 47.69511° 	E012.05618° 	 0 	 0 		1121
N 47.6951° 	E012.05619° 	 0 	 0 		1122
N 47.69513° 	E012.05622° 	 0 	 0 		1122
N 47.69515° 	E012.05624° 	 0 	 0 		1119
N 47.6952° 	E012.05626° 	 0 	 0 		1121
N 47.69524° 	E012.05635° 	 0 	 0 		1121
N 47.6953° 	E012.05638° 	 0 	 0 		1122
N 47.69527° 	E012.05644° 	 0 	 0 		1121
N 47.6953° 	E012.05645° 	 0 	 0 		1120
N 47.6954° 	E012.05645° 	 0 	 0 		1119
N 47.69543° 	E012.05647° 	 0 	 0 		1118
N 47.69546° 	E012.05647° 	 0 	 0 		1119
N 47.69554° 	E012.05649° 	 0 	 0 		1118
N 47.6956° 	E012.05651° 	 0 	 0 		1116
N 47.69566° 	E012.05654° 	 0 	 0 		1112
N 47.69566° 	E012.05655° 	 0 	 0 		1119
N 47.69568° 	E012.05656° 	 0 	 0 		1116
N 47.69568° 	E012.05657° 	 0 	 0 		1120
N 47.69569° 	E012.05657° 	 0 	 0 		1120
N 47.69569° 	E012.05657° 	 0 	 0 		1117
N 47.6957° 	E012.05658° 	 0 	 0 		1120
N 47.69571° 	E012.05658° 	 0 	 0 		1117
N 47.69577° 	E012.0566° 	 0 	 0 		1117
N 47.69585° 	E012.05661° 	 0 	 0 		1118
N 47.69588° 	E012.05663° 	 0 	 0 		1117
N 47.69589° 	E012.05663° 	 0 	 0 		1118
N 47.69594° 	E012.05662° 	 0 	 0 		1119
N 47.69595° 	E012.05662° 	 0 	 0 		1118
N 47.69601° 	E012.05662° 	 0 	 0 		1117
N 47.69609° 	E012.05658° 	 0 	 0 		1118
N 47.69614° 	E012.0566° 	 0 	 0 		1114
N 47.69615° 	E012.0566° 	 0 	 0 		1119
N 47.69616° 	E012.05661° 	 0 	 0 		1116
N 47.69621° 	E012.05662° 	 0 	 0 		1118
N 47.69626° 	E012.05663° 	 0 	 0 		1117
N 47.69629° 	E012.05665° 	 0 	 0 		1118
N 47.69631° 	E012.05667° 	 0 	 0 		1119
N 47.69645° 	E012.0569° 	 0 	 0 		1116
N 47.69645° 	E012.05692° 	 0 	 0 		1116
N 47.69646° 	E012.05693° 	 0 	 0 		1119
N 47.69646° 	E012.05694° 	 0 	 0 		1119
N 47.69648° 	E012.057° 	 0 	 0 		1118
N 47.69651° 	E012.05706° 	 0 	 0 		1118
N 47.69656° 	E012.05713° 	 0 	 0 		1119
N 47.69656° 	E012.05714° 	 0 	 0 		1119
N 47.69658° 	E012.05718° 	 0 	 0 		1118
N 47.69663° 	E012.05731° 	 0 	 0 		1118
N 47.69667° 	E012.05741° 	 0 	 0 		1117
N 47.69668° 	E012.05741° 	 0 	 0 		1120
N 47.69668° 	E012.05741° 	 0 	 0 		1119
N 47.69669° 	E012.05742° 	 0 	 0 		1121
N 47.6967° 	E012.05743° 	 0 	 0 		1119
N 47.69674° 	E012.05745° 	 0 	 0 		1120
N 47.69675° 	E012.05746° 	 0 	 0 		1118
N 47.69677° 	E012.05747° 	 0 	 0 		1120
N 47.6968° 	E012.05747° 	 0 	 0 		1119
N 47.69682° 	E012.05747° 	 0 	 0 		1120
N 47.69687° 	E012.05748° 	 0 	 0 		1120
N 47.69689° 	E012.05748° 	 0 	 0 		1119
N 47.69691° 	E012.05748° 	 0 	 0 		1121
N 47.69693° 	E012.05748° 	 0 	 0 		1120
N 47.697° 	E012.05744° 	 0 	 0 		1119
N 47.69704° 	E012.0574° 	 0 	 0 		1120
N 47.69706° 	E012.05741° 	 0 	 0 		1120
N 47.69709° 	E012.05739° 	 0 	 0 		1121
N 47.6971° 	E012.05739° 	 0 	 0 		1117
N 47.69711° 	E012.05739° 	 0 	 0 		1121
N 47.69713° 	E012.0574° 	 0 	 0 		1119
N 47.69726° 	E012.05735° 	 0 	 0 		1121
N 47.69727° 	E012.05735° 	 0 	 0 		1121
N 47.69729° 	E012.05732° 	 0 	 0 		1120
N 47.69735° 	E012.05725° 	 0 	 0 		1120
N 47.69735° 	E012.05725° 	 0 	 0 		1115
N 47.69735° 	E012.05725° 	 0 	 0 		1123
N 47.69736° 	E012.05724° 	 0 	 0 		1118
N 47.69737° 	E012.05723° 	 0 	 0 		1122
N 47.69738° 	E012.05722° 	 0 	 0 		1120
N 47.69747° 	E012.05716° 	 0 	 0 		1121
N 47.6975° 	E012.05712° 	 0 	 0 		1119
N 47.69751° 	E012.0571° 	 0 	 0 		1121
N 47.69763° 	E012.05706° 	 0 	 0 		1117
N 47.69763° 	E012.05706° 	 0 	 0 		1121
N 47.69767° 	E012.05706° 	 0 	 0 		1120
N 47.69769° 	E012.05706° 	 0 	 0 		1118
N 47.6977° 	E012.05706° 	 0 	 0 		1119
N 47.69778° 	E012.05709° 	 0 	 0 		1119
N 47.6978° 	E012.05709° 	 0 	 0 		1117
N 47.69785° 	E012.05714° 	 0 	 0 		1117
N 47.69785° 	E012.05714° 	 0 	 0 		1121
N 47.69786° 	E012.05714° 	 0 	 0 		1118
N 47.69791° 	E012.05712° 	 0 	 0 		1120
N 47.698° 	E012.05711° 	 0 	 0 		1119
N 47.69802° 	E012.05711° 	 0 	 0 		1119
N 47.69805° 	E012.05711° 	 0 	 0 		1120
N 47.69813° 	E012.05716° 	 0 	 0 		1121
N 47.69822° 	E012.05719° 	 0 	 0 		1121
N 47.69832° 	E012.0572° 	 0 	 0 		1121
N 47.6984° 	E012.05717° 	 0 	 0 		1121
N 47.69843° 	E012.05714° 	 0 	 0 		1121
N 47.69846° 	E012.05711° 	 0 	 0 		1121
N 47.69853° 	E012.05702° 	 0 	 0 		1121
N 47.69857° 	E012.05697° 	 0 	 0 		1122
N 47.6986° 	E012.05693° 	 0 	 0 		1122
N 47.69865° 	E012.05686° 	 0 	 0 		1122
N 47.69869° 	E012.05666° 	 0 	 0 		1122
N 47.69865° 	E012.05648° 	 0 	 0 		1122
N 47.69866° 	E012.05637° 	 0 	 0 		1122
N 47.69869° 	E012.05634° 	 0 	 0 		1122
N 47.6987° 	E012.05633° 	 0 	 0 		1122
N 47.69874° 	E012.05633° 	 0 	 0 		1122
N 47.69878° 	E012.0563° 	 0 	 0 		1122
N 47.69886° 	E012.05635° 	 0 	 0 		1122
N 47.6988° 	E012.05628° 	 0 	 0 		1122
N 47.69877° 	E012.05624° 	 0 	 0 		1124
N 47.69873° 	E012.05611° 	 0 	 0 		1127
N 47.6987° 	E012.05607° 	 0 	 0 		1128
N 47.69871° 	E012.05599° 	 0 	 0 		1130
N 47.69872° 	E012.05594° 	 0 	 0 		1131
N 47.6987° 	E012.05582° 	 0 	 0 		1132
N 47.69863° 	E012.05572° 	 0 	 0 		1134
N 47.69862° 	E012.05558° 	 0 	 0 		1137
N 47.69866° 	E012.05548° 	 0 	 0 		1139
N 47.69868° 	E012.05533° 	 0 	 0 		1140
N 47.6987° 	E012.05525° 	 0 	 0 		1142
N 47.69867° 	E012.05517° 	 0 	 0 		1144
N 47.69867° 	E012.05514° 	 0 	 0 		1144
N 47.69867° 	E012.05499° 	 0 	 0 		1145
N 47.69872° 	E012.05488° 	 0 	 0 		1147
